model,task_mode,run_id,source_rep,input_mode,case_count,prediction_files,prediction_input_mode_fixes,path
gemma-4-12b,t1_sliding_frames,20260609_223932,rep5,frames,38,38,0,results_normalized/gemma-4-12b/t1_sliding_frames/20260609_223932
gemma-4-12b,t2_anterior_frames,20260609_225053,rep1,frames,87,87,0,results_normalized/gemma-4-12b/t2_anterior_frames/20260609_225053
gemma-4-12b,t2_anterior_frames,20260609_232034,rep2,frames,87,87,0,results_normalized/gemma-4-12b/t2_anterior_frames/20260609_232034
gemma-4-12b,t2_anterior_frames,20260609_235000,rep3,frames,87,87,0,results_normalized/gemma-4-12b/t2_anterior_frames/20260609_235000
gemma-4-12b,t2_anterior_frames,20260610_002532,rep4,frames,87,87,0,results_normalized/gemma-4-12b/t2_anterior_frames/20260610_002532
gemma-4-12b,t2_anterior_frames,20260610_005356,rep5,frames,87,87,0,results_normalized/gemma-4-12b/t2_anterior_frames/20260610_005356
gemma-4-12b,t3_posterior_frames,20260610_012711,rep1,frames,41,41,0,results_normalized/gemma-4-12b/t3_posterior_frames/20260610_012711
gemma-4-12b,t3_posterior_frames,20260610_013743,rep2,frames,41,41,0,results_normalized/gemma-4-12b/t3_posterior_frames/20260610_013743
gemma-4-12b,t3_posterior_frames,20260610_014811,rep3,frames,41,41,0,results_normalized/gemma-4-12b/t3_posterior_frames/20260610_014811
gemma-4-12b,t3_posterior_frames,20260610_015831,rep4,frames,41,41,0,results_normalized/gemma-4-12b/t3_posterior_frames/20260610_015831
gemma-4-12b,t3_posterior_frames,20260610_020911,rep5,frames,41,41,0,results_normalized/gemma-4-12b/t3_posterior_frames/20260610_020911
gemma-4-12b,t1_sliding_mmode,20260611_172935,rep1,mmode,38,38,38,results_normalized/gemma-4-12b/t1_sliding_mmode/20260611_172935
gemma-4-12b,t1_sliding_mmode,20260611_173409,rep2,mmode,38,38,38,results_normalized/gemma-4-12b/t1_sliding_mmode/20260611_173409
gemma-4-12b,t1_sliding_mmode,20260611_173853,rep3,mmode,38,38,38,results_normalized/gemma-4-12b/t1_sliding_mmode/20260611_173853
gemma-4-12b,t1_sliding_mmode,20260611_174324,rep4,mmode,38,38,38,results_normalized/gemma-4-12b/t1_sliding_mmode/20260611_174324
gemma-4-12b,t1_sliding_mmode,20260611_174747,rep5,mmode,38,38,38,results_normalized/gemma-4-12b/t1_sliding_mmode/20260611_174747
gemma-4-e4e,t1_sliding_mmode,20260611_171614,rep1,mmode,38,38,38,results_normalized/gemma-4-e4e/t1_sliding_mmode/20260611_171614
gemma-4-e4e,t1_sliding_mmode,20260611_171840,rep2,mmode,38,38,38,results_normalized/gemma-4-e4e/t1_sliding_mmode/20260611_171840
gemma-4-e4e,t1_sliding_mmode,20260611_172040,rep3,mmode,38,38,38,results_normalized/gemma-4-e4e/t1_sliding_mmode/20260611_172040
gemma-4-e4e,t1_sliding_mmode,20260611_172237,rep4,mmode,38,38,38,results_normalized/gemma-4-e4e/t1_sliding_mmode/20260611_172237
gemma-4-e4e,t1_sliding_mmode,20260611_172436,rep5,mmode,38,38,38,results_normalized/gemma-4-e4e/t1_sliding_mmode/20260611_172436
gemma-4-e4e,t1_sliding_frames,20260611_161738,rep1,frames,38,38,0,results_normalized/gemma-4-e4e/t1_sliding_frames/20260611_161738
gemma-4-e4e,t1_sliding_frames,20260611_162005,rep2,frames,38,38,0,results_normalized/gemma-4-e4e/t1_sliding_frames/20260611_162005
gemma-4-e4e,t1_sliding_frames,20260611_162202,rep3,frames,38,38,0,results_normalized/gemma-4-e4e/t1_sliding_frames/20260611_162202
gemma-4-e4e,t1_sliding_frames,20260611_162402,rep4,frames,38,38,0,results_normalized/gemma-4-e4e/t1_sliding_frames/20260611_162402
gemma-4-e4e,t1_sliding_frames,20260611_162602,rep5,frames,38,38,0,results_normalized/gemma-4-e4e/t1_sliding_frames/20260611_162602
gemma-4-e4e,t2_anterior_frames,20260611_162802,rep1,frames,87,87,0,results_normalized/gemma-4-e4e/t2_anterior_frames/20260611_162802
gemma-4-e4e,t2_anterior_frames,20260611_163457,rep2,frames,87,87,0,results_normalized/gemma-4-e4e/t2_anterior_frames/20260611_163457
gemma-4-e4e,t2_anterior_frames,20260611_164148,rep3,frames,87,87,0,results_normalized/gemma-4-e4e/t2_anterior_frames/20260611_164148
gemma-4-e4e,t2_anterior_frames,20260611_164839,rep4,frames,87,87,0,results_normalized/gemma-4-e4e/t2_anterior_frames/20260611_164839
gemma-4-e4e,t2_anterior_frames,20260611_165520,rep5,frames,87,87,0,results_normalized/gemma-4-e4e/t2_anterior_frames/20260611_165520
gemma-4-e4e,t3_posterior_frames,20260611_170206,rep1,frames,41,41,0,results_normalized/gemma-4-e4e/t3_posterior_frames/20260611_170206
gemma-4-e4e,t3_posterior_frames,20260611_170443,rep2,frames,41,41,0,results_normalized/gemma-4-e4e/t3_posterior_frames/20260611_170443
gemma-4-e4e,t3_posterior_frames,20260611_170645,rep3,frames,41,41,0,results_normalized/gemma-4-e4e/t3_posterior_frames/20260611_170645
gemma-4-e4e,t3_posterior_frames,20260611_170848,rep4,frames,41,41,0,results_normalized/gemma-4-e4e/t3_posterior_frames/20260611_170848
gemma-4-e4e,t3_posterior_frames,20260611_171052,rep5,frames,41,41,0,results_normalized/gemma-4-e4e/t3_posterior_frames/20260611_171052
gemma-4-26b-a4b-it,t1_sliding_frames,20260607_114142,,frames,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_frames/20260607_114142
gemma-4-26b-a4b-it,t1_sliding_frames,20260607_115127,,frames,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_frames/20260607_115127
gemma-4-26b-a4b-it,t1_sliding_frames,20260607_115746,,frames,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_frames/20260607_115746
gemma-4-26b-a4b-it,t1_sliding_frames,20260607_120605,,frames,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_frames/20260607_120605
gemma-4-26b-a4b-it,t1_sliding_frames,20260607_121539,,frames,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_frames/20260607_121539
gemma-4-26b-a4b-it,t1_sliding_mmode,20260607_114417,,mmode,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_mmode/20260607_114417
gemma-4-26b-a4b-it,t1_sliding_mmode,20260607_115226,,mmode,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_mmode/20260607_115226
gemma-4-26b-a4b-it,t1_sliding_mmode,20260607_115905,,mmode,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_mmode/20260607_115905
gemma-4-26b-a4b-it,t1_sliding_mmode,20260607_120715,,mmode,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_mmode/20260607_120715
gemma-4-26b-a4b-it,t1_sliding_mmode,20260607_121808,,mmode,37,37,0,results_normalized/gemma-4-26b-a4b-it/t1_sliding_mmode/20260607_121808
gemma-4-26b-a4b-it,t2_anterior_frames,20260607_114734,,frames,86,86,0,results_normalized/gemma-4-26b-a4b-it/t2_anterior_frames/20260607_114734
gemma-4-26b-a4b-it,t2_anterior_frames,20260607_115435,,frames,86,86,0,results_normalized/gemma-4-26b-a4b-it/t2_anterior_frames/20260607_115435
gemma-4-26b-a4b-it,t2_anterior_frames,20260607_120201,,frames,86,86,0,results_normalized/gemma-4-26b-a4b-it/t2_anterior_frames/20260607_120201
gemma-4-26b-a4b-it,t2_anterior_frames,20260607_121115,,frames,86,86,0,results_normalized/gemma-4-26b-a4b-it/t2_anterior_frames/20260607_121115
gemma-4-26b-a4b-it,t2_anterior_frames,20260607_122119,,frames,86,86,0,results_normalized/gemma-4-26b-a4b-it/t2_anterior_frames/20260607_122119
gemma-4-26b-a4b-it,t3_posterior_frames,20260607_115016,,frames,39,39,0,results_normalized/gemma-4-26b-a4b-it/t3_posterior_frames/20260607_115016
gemma-4-26b-a4b-it,t3_posterior_frames,20260607_115647,,frames,39,39,0,results_normalized/gemma-4-26b-a4b-it/t3_posterior_frames/20260607_115647
gemma-4-26b-a4b-it,t3_posterior_frames,20260607_120439,,frames,39,39,0,results_normalized/gemma-4-26b-a4b-it/t3_posterior_frames/20260607_120439
gemma-4-26b-a4b-it,t3_posterior_frames,20260607_121422,,frames,39,39,0,results_normalized/gemma-4-26b-a4b-it/t3_posterior_frames/20260607_121422
gemma-4-26b-a4b-it,t3_posterior_frames,20260607_122440,,frames,39,39,0,results_normalized/gemma-4-26b-a4b-it/t3_posterior_frames/20260607_122440
gemma-4-31b-it,t1_sliding_frames,20260607_043438,,frames,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_frames/20260607_043438
gemma-4-31b-it,t1_sliding_frames,20260607_044741,,frames,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_frames/20260607_044741
gemma-4-31b-it,t1_sliding_frames,20260607_050106,,frames,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_frames/20260607_050106
gemma-4-31b-it,t1_sliding_frames,20260607_051748,,frames,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_frames/20260607_051748
gemma-4-31b-it,t1_sliding_frames,20260607_052739,,frames,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_frames/20260607_052739
gemma-4-31b-it,t1_sliding_mmode,20260607_043637,,mmode,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_mmode/20260607_043637
gemma-4-31b-it,t1_sliding_mmode,20260607_045108,,mmode,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_mmode/20260607_045108
gemma-4-31b-it,t1_sliding_mmode,20260607_050318,,mmode,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_mmode/20260607_050318
gemma-4-31b-it,t1_sliding_mmode,20260607_051942,,mmode,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_mmode/20260607_051942
gemma-4-31b-it,t1_sliding_mmode,20260607_052855,,mmode,37,37,0,results_normalized/gemma-4-31b-it/t1_sliding_mmode/20260607_052855
gemma-4-31b-it,t2_anterior_frames,20260607_043947,,frames,86,86,0,results_normalized/gemma-4-31b-it/t2_anterior_frames/20260607_043947
gemma-4-31b-it,t2_anterior_frames,20260607_045452,,frames,86,86,0,results_normalized/gemma-4-31b-it/t2_anterior_frames/20260607_045452
gemma-4-31b-it,t2_anterior_frames,20260607_050800,,frames,86,86,0,results_normalized/gemma-4-31b-it/t2_anterior_frames/20260607_050800
gemma-4-31b-it,t2_anterior_frames,20260607_052215,,frames,86,86,0,results_normalized/gemma-4-31b-it/t2_anterior_frames/20260607_052215
gemma-4-31b-it,t2_anterior_frames,20260607_053125,,frames,86,86,0,results_normalized/gemma-4-31b-it/t2_anterior_frames/20260607_053125
gemma-4-31b-it,t3_posterior_frames,20260607_044508,,frames,39,39,0,results_normalized/gemma-4-31b-it/t3_posterior_frames/20260607_044508
gemma-4-31b-it,t3_posterior_frames,20260607_045926,,frames,39,39,0,results_normalized/gemma-4-31b-it/t3_posterior_frames/20260607_045926
gemma-4-31b-it,t3_posterior_frames,20260607_051624,,frames,39,39,0,results_normalized/gemma-4-31b-it/t3_posterior_frames/20260607_051624
gemma-4-31b-it,t3_posterior_frames,20260607_052628,,frames,39,39,0,results_normalized/gemma-4-31b-it/t3_posterior_frames/20260607_052628
gemma-4-31b-it,t3_posterior_frames,20260607_053556,,frames,39,39,0,results_normalized/gemma-4-31b-it/t3_posterior_frames/20260607_053556
medgemma-27b,t1_sliding_frames,20260608_230322,,frames,37,37,0,results_normalized/medgemma-27b/t1_sliding_frames/20260608_230322
medgemma-27b,t1_sliding_frames,20260609_015139,,frames,37,37,0,results_normalized/medgemma-27b/t1_sliding_frames/20260609_015139
medgemma-27b,t1_sliding_frames,20260609_101642,,frames,37,37,0,results_normalized/medgemma-27b/t1_sliding_frames/20260609_101642
medgemma-27b,t1_sliding_frames,20260609_130602,,frames,37,37,0,results_normalized/medgemma-27b/t1_sliding_frames/20260609_130602
medgemma-27b,t1_sliding_frames,20260609_155955,,frames,37,37,0,results_normalized/medgemma-27b/t1_sliding_frames/20260609_155955
medgemma-27b,t1_sliding_mmode,20260608_233809,,mmode,37,37,0,results_normalized/medgemma-27b/t1_sliding_mmode/20260608_233809
medgemma-27b,t1_sliding_mmode,20260609_022443,,mmode,37,37,0,results_normalized/medgemma-27b/t1_sliding_mmode/20260609_022443
medgemma-27b,t1_sliding_mmode,20260609_105631,,mmode,37,37,0,results_normalized/medgemma-27b/t1_sliding_mmode/20260609_105631
medgemma-27b,t1_sliding_mmode,20260609_134410,,mmode,37,37,0,results_normalized/medgemma-27b/t1_sliding_mmode/20260609_134410
medgemma-27b,t1_sliding_mmode,20260609_163648,,mmode,37,37,0,results_normalized/medgemma-27b/t1_sliding_mmode/20260609_163648
medgemma-27b,t2_anterior_frames,20260609_001520,,frames,86,86,0,results_normalized/medgemma-27b/t2_anterior_frames/20260609_001520
medgemma-27b,t2_anterior_frames,20260609_030236,,frames,86,86,0,results_normalized/medgemma-27b/t2_anterior_frames/20260609_030236
medgemma-27b,t2_anterior_frames,20260609_113317,,frames,86,86,0,results_normalized/medgemma-27b/t2_anterior_frames/20260609_113317
medgemma-27b,t2_anterior_frames,20260609_142546,,frames,86,86,0,results_normalized/medgemma-27b/t2_anterior_frames/20260609_142546
medgemma-27b,t2_anterior_frames,20260609_171515,,frames,86,86,0,results_normalized/medgemma-27b/t2_anterior_frames/20260609_171515
medgemma-27b,t3_posterior_frames,20260609_012438,,frames,39,39,0,results_normalized/medgemma-27b/t3_posterior_frames/20260609_012438
medgemma-27b,t3_posterior_frames,20260609_040913,,frames,39,39,0,results_normalized/medgemma-27b/t3_posterior_frames/20260609_040913
medgemma-27b,t3_posterior_frames,20260609_124235,,frames,39,39,0,results_normalized/medgemma-27b/t3_posterior_frames/20260609_124235
medgemma-27b,t3_posterior_frames,20260609_153619,,frames,39,39,0,results_normalized/medgemma-27b/t3_posterior_frames/20260609_153619
medgemma-27b,t3_posterior_frames,20260609_183141,,frames,39,39,0,results_normalized/medgemma-27b/t3_posterior_frames/20260609_183141
qwen3.6-35b-a3b,t1_sliding_frames,20260607_221025,,frames,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_frames/20260607_221025
qwen3.6-35b-a3b,t1_sliding_frames,20260607_223848,,frames,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_frames/20260607_223848
qwen3.6-35b-a3b,t1_sliding_frames,20260607_230145,,frames,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_frames/20260607_230145
qwen3.6-35b-a3b,t1_sliding_frames,20260607_234109,,frames,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_frames/20260607_234109
qwen3.6-35b-a3b,t1_sliding_frames,20260608_001023,,frames,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_frames/20260608_001023
qwen3.6-35b-a3b,t1_sliding_mmode,20260607_221327,,mmode,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_mmode/20260607_221327
qwen3.6-35b-a3b,t1_sliding_mmode,20260607_224122,,mmode,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_mmode/20260607_224122
qwen3.6-35b-a3b,t1_sliding_mmode,20260607_230508,,mmode,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_mmode/20260607_230508
qwen3.6-35b-a3b,t1_sliding_mmode,20260607_234419,,mmode,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_mmode/20260607_234419
qwen3.6-35b-a3b,t1_sliding_mmode,20260608_001324,,mmode,37,37,0,results_normalized/qwen3.6-35b-a3b/t1_sliding_mmode/20260608_001324
qwen3.6-35b-a3b,t2_anterior_frames,20260607_222748,,frames,86,86,0,results_normalized/qwen3.6-35b-a3b/t2_anterior_frames/20260607_222748
qwen3.6-35b-a3b,t2_anterior_frames,20260607_224846,,frames,86,86,0,results_normalized/qwen3.6-35b-a3b/t2_anterior_frames/20260607_224846
qwen3.6-35b-a3b,t2_anterior_frames,20260607_232039,,frames,86,86,0,results_normalized/qwen3.6-35b-a3b/t2_anterior_frames/20260607_232039
qwen3.6-35b-a3b,t2_anterior_frames,20260607_235916,,frames,86,86,0,results_normalized/qwen3.6-35b-a3b/t2_anterior_frames/20260607_235916
qwen3.6-35b-a3b,t2_anterior_frames,20260608_003013,,frames,86,86,0,results_normalized/qwen3.6-35b-a3b/t2_anterior_frames/20260608_003013
qwen3.6-35b-a3b,t3_posterior_frames,20260607_223639,,frames,39,39,0,results_normalized/qwen3.6-35b-a3b/t3_posterior_frames/20260607_223639
qwen3.6-35b-a3b,t3_posterior_frames,20260607_225908,,frames,39,39,0,results_normalized/qwen3.6-35b-a3b/t3_posterior_frames/20260607_225908
qwen3.6-35b-a3b,t3_posterior_frames,20260607_233757,,frames,39,39,0,results_normalized/qwen3.6-35b-a3b/t3_posterior_frames/20260607_233757
qwen3.6-35b-a3b,t3_posterior_frames,20260608_000810,,frames,39,39,0,results_normalized/qwen3.6-35b-a3b/t3_posterior_frames/20260608_000810
qwen3.6-35b-a3b,t3_posterior_frames,20260608_004606,,frames,39,39,0,results_normalized/qwen3.6-35b-a3b/t3_posterior_frames/20260608_004606
