panel,task_key,model,group,n,f1,ci_lo,ci_hi
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,qwen3.6-35b-a3b,junior,6,0.2222222222222222,0.0,0.3333333333333333
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_sonnet-4.6,combined,37,0.4071428571428572,0.2896715167548501,0.5064123570575183
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_sonnet-4.6,adult,31,0.4024844720496894,0.27658883147853736,0.5102719915945723
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_sonnet-4.6,junior,6,0.4000000000000001,0.09523809523809525,0.6296296296296297
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_opus-4.6,combined,37,0.4926406926406926,0.308787449240636,0.6485990430505366
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_opus-4.6,adult,31,0.4648200093501636,0.28332196029776674,0.6524297924297925
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,claude_opus-4.6,junior,6,0.5222222222222221,0.09523809523809525,0.8666666666666667
T2-1 Lung Rockets — F1,T2,gemma-4-e4e,combined,86,0.46,0.3333333333333333,0.5765765765765766
T2-1 Lung Rockets — F1,T2,gemma-4-e4e,adult,65,0.4736842105263157,0.3234411764705882,0.6024096385542168
T2-1 Lung Rockets — F1,T2,gemma-4-e4e,junior,21,0.4166666666666667,0.17391304347826084,0.6428571428571429
T2-1 Lung Rockets — F1,T2,gemma-4-12b,combined,86,0.5434782608695652,0.40963855421686746,0.6593465045592705
T2-1 Lung Rockets — F1,T2,gemma-4-12b,adult,65,0.5633802816901409,0.4067664194915254,0.6923333333333334
T2-1 Lung Rockets — F1,T2,gemma-4-12b,junior,21,0.47619047619047616,0.1904761904761905,0.7144285714285706
T2-1 Lung Rockets — F1,T2,gemma-4-26b-a4b-it,combined,86,0.5952380952380951,0.4615384615384616,0.7142857142857143
T2-1 Lung Rockets — F1,T2,gemma-4-26b-a4b-it,adult,65,0.6060606060606061,0.45279975654290927,0.7341772151898734
T2-1 Lung Rockets — F1,T2,gemma-4-26b-a4b-it,junior,21,0.5555555555555556,0.23529411764705882,0.8
T2-1 Lung Rockets — F1,T2,medgemma-27b,combined,86,0.32876712328767127,0.1875,0.4634571752694269
T2-1 Lung Rockets — F1,T2,medgemma-27b,adult,65,0.3,0.14035087719298245,0.4444444444444445
T2-1 Lung Rockets — F1,T2,medgemma-27b,junior,21,0.4615384615384615,0.0,0.75
T2-1 Lung Rockets — F1,T2,gemma-4-31b-it,combined,86,0.676056338028169,0.5357017102615694,0.7907578187650358
T2-1 Lung Rockets — F1,T2,gemma-4-31b-it,adult,65,0.6666666666666667,0.5090909090909091,0.7924528301886793
T2-1 Lung Rockets — F1,T2,gemma-4-31b-it,junior,21,0.7142857142857143,0.3636363636363636,0.9411764705882353
T2-1 Lung Rockets — F1,T2,qwen3.6-35b-a3b,combined,86,0.5507246376811594,0.39999999999999997,0.6835443037974683
T2-1 Lung Rockets — F1,T2,qwen3.6-35b-a3b,adult,65,0.5660377358490567,0.39999999999999997,0.7142857142857142
T2-1 Lung Rockets — F1,T2,qwen3.6-35b-a3b,junior,21,0.5000000000000001,0.15384615384615385,0.7777777777777778
T2-1 Lung Rockets — F1,T2,claude_sonnet-4.6,combined,86,0.4375,0.3111111111111111,0.5555555555555556
T2-1 Lung Rockets — F1,T2,claude_sonnet-4.6,adult,65,0.4473684210526316,0.29839771729587355,0.575
T2-1 Lung Rockets — F1,T2,claude_sonnet-4.6,junior,21,0.4,0.1111111111111111,0.64
T2-1 Lung Rockets — F1,T2,claude_opus-4.6,combined,86,0.4578313253012048,0.32096296296296295,0.5853781719635378
T2-1 Lung Rockets — F1,T2,claude_opus-4.6,adult,65,0.46875,0.3076271186440678,0.6111666666666664
T2-1 Lung Rockets — F1,T2,claude_opus-4.6,junior,21,0.4210526315789473,0.11764705882352941,0.6666666666666667
T2-2 Consolidation — F1,T2,gemma-4-e4e,combined,86,0.3214285714285714,0.1568627450980392,0.47064171122994625
T2-2 Consolidation — F1,T2,gemma-4-e4e,adult,65,0.3,0.10526315789473685,0.47826086956521735
T2-2 Consolidation — F1,T2,gemma-4-e4e,junior,21,0.37499999999999994,0.0,0.640666666666663
T2-2 Consolidation — F1,T2,gemma-4-12b,combined,86,0.5625,0.4,0.6944746376811594
T2-2 Consolidation — F1,T2,gemma-4-12b,adult,65,0.5238095238095238,0.3076923076923077,0.6829268292682926
T2-2 Consolidation — F1,T2,gemma-4-12b,junior,21,0.6363636363636364,0.3529411764705882,0.8461538461538461
T2-2 Consolidation — F1,T2,gemma-4-26b-a4b-it,combined,86,0.5454545454545455,0.359974358974359,0.6909090909090908
T2-2 Consolidation — F1,T2,gemma-4-26b-a4b-it,adult,65,0.5263157894736841,0.30757575757575756,0.7058823529411765
T2-2 Consolidation — F1,T2,gemma-4-26b-a4b-it,junior,21,0.5882352941176471,0.28571428571428575,0.8235294117647058
T2-2 Consolidation — F1,T2,medgemma-27b,combined,86,0.15789473684210525,0.0,0.3181818181818182
T2-2 Consolidation — F1,T2,medgemma-27b,adult,65,0.15384615384615383,0.0,0.3530462184873944
T2-2 Consolidation — F1,T2,medgemma-27b,junior,21,0.16666666666666669,0.0,0.4444444444444445
T2-2 Consolidation — F1,T2,gemma-4-31b-it,combined,86,0.6153846153846154,0.4528301886792453,0.7462786069651741
T2-2 Consolidation — F1,T2,gemma-4-31b-it,adult,65,0.5652173913043478,0.37204995693367787,0.7200555555555553
T2-2 Consolidation — F1,T2,gemma-4-31b-it,junior,21,0.7368421052631579,0.4615384615384615,0.9166666666666666
T2-2 Consolidation — F1,T2,qwen3.6-35b-a3b,combined,86,0.7,0.5517241379310345,0.8197160421545665
T2-2 Consolidation — F1,T2,qwen3.6-35b-a3b,adult,65,0.761904761904762,0.5806451612903226,0.8846153846153846
T2-2 Consolidation — F1,T2,qwen3.6-35b-a3b,junior,21,0.5555555555555556,0.2219298245614035,0.7999999999999999
T2-2 Consolidation — F1,T2,claude_sonnet-4.6,combined,86,0.576271186440678,0.4067664194915254,0.7076923076923077
T2-2 Consolidation — F1,T2,claude_sonnet-4.6,adult,65,0.5128205128205128,0.29411764705882354,0.6938775510204082
T2-2 Consolidation — F1,T2,claude_sonnet-4.6,junior,21,0.7000000000000001,0.4205263157894737,0.9
T2-2 Consolidation — F1,T2,claude_opus-4.6,combined,86,0.5797101449275363,0.4074074074074074,0.7088607594936708
T2-2 Consolidation — F1,T2,claude_opus-4.6,adult,65,0.5531914893617021,0.35294117647058826,0.7000438596491226
T2-2 Consolidation — F1,T2,claude_opus-4.6,junior,21,0.6363636363636364,0.35294117647058826,0.8333333333333334
T3 PLAPS — F1,T3,gemma-4-e4e,combined,39,0.835820895522388,0.7414198836594393,0.9166666666666667
T3 PLAPS — F1,T3,gemma-4-e4e,adult,34,0.8275862068965517,0.7169811320754716,0.9206349206349206
T3 PLAPS — F1,T3,gemma-4-e4e,junior,5,0.888888888888889,0.5714285714285715,1.0
T3 PLAPS — F1,T3,gemma-4-12b,combined,39,0.9736842105263158,0.9315068493150686,1.0
T3 PLAPS — F1,T3,gemma-4-12b,adult,34,0.9696969696969697,0.9206349206349206,1.0
T3 PLAPS — F1,T3,gemma-4-12b,junior,5,1.0,1.0,1.0
T3 PLAPS — F1,T3,gemma-4-26b-a4b-it,combined,39,0.9736842105263158,0.9315068493150686,1.0
T3 PLAPS — F1,T3,gemma-4-26b-a4b-it,adult,34,0.9696969696969697,0.9206349206349206,1.0
T3 PLAPS — F1,T3,gemma-4-26b-a4b-it,junior,5,1.0,1.0,1.0
T3 PLAPS — F1,T3,medgemma-27b,combined,39,0.7017543859649124,0.5490196078431372,0.819672131147541
T3 PLAPS — F1,T3,medgemma-27b,adult,34,0.6938775510204082,0.5217391304347826,0.8214285714285715
T3 PLAPS — F1,T3,medgemma-27b,junior,5,0.7499999999999999,0.33333333333333337,1.0
T3 PLAPS — F1,T3,gemma-4-31b-it,combined,39,0.9599999999999999,0.9014084507042254,1.0
T3 PLAPS — F1,T3,gemma-4-31b-it,adult,34,0.9538461538461539,0.8852459016393444,1.0
T3 PLAPS — F1,T3,gemma-4-31b-it,junior,5,1.0,1.0,1.0
T3 PLAPS — F1,T3,qwen3.6-35b-a3b,combined,39,0.9736842105263158,0.9315068493150686,1.0
T3 PLAPS — F1,T3,qwen3.6-35b-a3b,adult,34,0.9696969696969697,0.9206349206349206,1.0
T3 PLAPS — F1,T3,qwen3.6-35b-a3b,junior,5,1.0,1.0,1.0
T3 PLAPS — F1,T3,claude_sonnet-4.6,combined,39,0.9736842105263158,0.9315068493150686,1.0
T3 PLAPS — F1,T3,claude_sonnet-4.6,adult,34,0.9696969696969697,0.9206349206349206,1.0
T3 PLAPS — F1,T3,claude_sonnet-4.6,junior,5,1.0,1.0,1.0
T3 PLAPS — F1,T3,claude_opus-4.6,combined,39,0.9736842105263158,0.9315068493150686,1.0
T3 PLAPS — F1,T3,claude_opus-4.6,adult,34,0.9696969696969697,0.9206349206349206,1.0
T3 PLAPS — F1,T3,claude_opus-4.6,junior,5,1.0,1.0,1.0
